 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              1,         0,           0,          2,             0,               0,              1,        0,          0,         4
 1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         5
 2,             1,               0,              4,         2,           2,         15,             0,               0,              1,        1,          2,         6
 3,             2,               0,              2,         3,           2,         39,             1,               0,              2,        3,          4,         8
 4,             4,               1,              3,         8,           6,         16,             3,               0,              3,        6,          7,        11
 5,             8,               5,              6,        10,           6,         14,             6,               1,              5,       10,          9,        14
 6,            13,               9,             10,        15,           8,         17,            10,               3,              8,       16,         13,        18
 7,            15,              10,             11,        18,          10,         21,            15,               5,             11,       21,         16,        22
 8,            17,              11,             12,        25,          12,         26,            21,               6,             15,       27,         21,        29
 9,            20,              13,             15,        33,          14,         32,            28,               7,             18,       34,         25,        33
10,            21,              13,             15,        34,          17,         37,            36,               7,             21,       40,         29,        38
